id,name,certification_point,altitude,region,address,latitude,longitude,image_url,first_char
57,오대산 비로봉,비로봉,1565,강원도,강원 평창군 진부면 동산리 75-6,37.794591,128.543609,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/168_0_20131128162.jpg,ㅇ
58,오봉산(춘천),정상(5봉),779,강원도,강원 춘천시 북산면,38.000049,127.807134,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_227_0_1695706649_.jpg,ㅇ
59,오서산(보령),정상,791,충청남도,충남 홍성군 광천읍,36.458367,126.659331,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/188_0_20131128989.jpg,ㅇ
60,용문산(양평),가섭봉 정상석,1157,경기도,경기 양평군 용문면 신점리 625,37.56215,127.548597,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/169_0_20131128964.jpg,ㅇ
61,용봉산(홍성),정상,381,충청남도,충남 홍성군 홍북면,36.643662,126.64925,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/201_0_20131128372.jpg,ㅇ
62,용화산,정상,878,강원도,강원 춘천시 사북면 고탄리,38.038181,127.747992,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/734_0_20160301162.jpg,ㅇ
63,운악산,서봉,936,경기도,경기,37.878689,127.322899,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/1934_0_20131128216.jpg,ㅇ
64,운장산,운장대,1126,전라북도,전북 진안군 주천면,35.911331,127.357646,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/228_0_20131128788.jpg,ㅇ
65,월악산,영봉,1097,충청북도,충북 제천시 한수면,36.88608,128.105847,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_191_0_1637562690_.jpg,ㅇ
66,월출산,천황봉 정상석,809,전라남도,전남 영암군 영암읍,34.766684,126.704081,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_170_0_1660193150_.jpg,ㅇ
67,유명산,정상,862,경기도,경기 가평군 설악면,37.575283,127.486572,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/229_0_20131128846.jpg,ㅇ
68,응봉산(울진),정상,998,강원도,강원 삼척시 가곡면,37.076589,129.230517,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/196_0_20131128493.jpg,ㅇ
69,장안산,정상,1237,전라북도,전북 장수군 장수읍,35.629213,127.595046,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/230_0_20131128396.jpg,ㅈ
70,재약산,수미봉,1189,경상남도,경남 밀양시 단장면,35.545386,128.980541,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_239_0_1679901729_.jpg,ㅈ
71,조계산,장군봉,888,전라남도,전남 순천시 송광면,35.001299,127.31359,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/172_0_20131128219.jpg,ㅈ
72,조령산,정상,1026,경상북도,경북 문경시 문경읍,36.771456,128.044244,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/199_0_20131128866.jpg,ㅈ
73,주왕산,주봉,721,경상북도,경북 청송군 부동면,36.38935,129.162394,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/173_0_20131128299.jpg,ㅈ
74,주흘산,주봉,1106,경상북도,경북,36.778068,128.106006,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/1930_0_20131128942.jpg,ㅈ
75,지리산,지리산 천왕봉,1915,경상남도,경남 함양군,35.33691,127.730623,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/174_0_20131128893.jpg,ㅈ
76,지리산 바래봉,바래봉,1165,전라북도,전북 남원시 운봉읍,35.421814,127.57632,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/156_0_20131128136.jpg,ㅈ
77,지리산 반야봉,반야봉,1732,전라북도,전북 남원시,35.316596,127.569399,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_224_0_1737348758_.jpg,ㅈ
78,천관산,연대봉,724,전라남도,전남 장흥군 관산읍,34.531669,126.919697,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/175_0_20131128696.jpg,ㅊ
